"","plot","grid_number","date","rich","plot_grid","treatment","complexity","plot_date","days_since_outplanting"
"180","HN",12,"06-Jun-19",0,"HN - 12","70%","High","HN - 06-Jun-19",2
"181","HN",12,"07-Jun-19",0,"HN - 12","70%","High","HN - 07-Jun-19",3
"182","HN",12,"09-Jul-19",2,"HN - 12","70%","High","HN - 09-Jul-19",30
"183","HN",12,"11-Jun-19",0,"HN - 12","70%","High","HN - 11-Jun-19",5
"184","HN",12,"13-Jun-19",1,"HN - 12","70%","High","HN - 13-Jun-19",7
"185","HN",12,"15-Jul-19",0,"HN - 12","70%","High","HN - 15-Jul-19",33
"186","HN",12,"15-Jun-19",0,"HN - 12","70%","High","HN - 15-Jun-19",9
"187","HN",12,"20-Jul-19",2,"HN - 12","70%","High","HN - 20-Jul-19",37
"188","HN",12,"20-Jun-19",1,"HN - 12","70%","High","HN - 20-Jun-19",11
"189","HN",12,"25-Jul-19",1,"HN - 12","70%","High","HN - 25-Jul-19",43
"190","HN",12,"25-Jun-19",1,"HN - 12","70%","High","HN - 25-Jun-19",13
"191","HN",12,"28-Jul-19",2,"HN - 12","70%","High","HN - 28-Jul-19",48
"192","HN",12,"28-Jun-19",2,"HN - 12","70%","High","HN - 28-Jun-19",18
"193","HN",13,"02-Jul-19",1,"HN - 13","100%","High","HN - 02-Jul-19",23
"194","HN",13,"05-Jul-19",1,"HN - 13","100%","High","HN - 05-Jul-19",26
"195","HN",13,"05-Jun-19",1,"HN - 13","100%","High","HN - 05-Jun-19",1
"196","HN",13,"06-Jun-19",5,"HN - 13","100%","High","HN - 06-Jun-19",2
"197","HN",13,"07-Jun-19",3,"HN - 13","100%","High","HN - 07-Jun-19",3
"198","HN",13,"09-Jul-19",2,"HN - 13","100%","High","HN - 09-Jul-19",30
"199","HN",13,"11-Jun-19",0,"HN - 13","100%","High","HN - 11-Jun-19",5
"200","HN",13,"13-Jun-19",2,"HN - 13","100%","High","HN - 13-Jun-19",7
"201","HN",13,"15-Jul-19",1,"HN - 13","100%","High","HN - 15-Jul-19",33
"202","HN",13,"15-Jun-19",0,"HN - 13","100%","High","HN - 15-Jun-19",9
"203","HN",13,"20-Jul-19",1,"HN - 13","100%","High","HN - 20-Jul-19",37
"204","HN",13,"20-Jun-19",0,"HN - 13","100%","High","HN - 20-Jun-19",11
"205","HN",13,"25-Jul-19",3,"HN - 13","100%","High","HN - 25-Jul-19",43
"206","HN",13,"25-Jun-19",0,"HN - 13","100%","High","HN - 25-Jun-19",13
"207","HN",13,"28-Jul-19",2,"HN - 13","100%","High","HN - 28-Jul-19",48
"208","HN",13,"28-Jun-19",0,"HN - 13","100%","High","HN - 28-Jun-19",18
"209","HN",14,"02-Jul-19",1,"HN - 14","0%","High","HN - 02-Jul-19",23
"210","HN",14,"05-Jul-19",1,"HN - 14","0%","High","HN - 05-Jul-19",26
"211","HN",14,"05-Jun-19",0,"HN - 14","0%","High","HN - 05-Jun-19",1
"212","HN",14,"06-Jun-19",1,"HN - 14","0%","High","HN - 06-Jun-19",2
"213","HN",14,"07-Jun-19",0,"HN - 14","0%","High","HN - 07-Jun-19",3
"214","HN",14,"09-Jul-19",1,"HN - 14","0%","High","HN - 09-Jul-19",30
"215","HN",14,"11-Jun-19",1,"HN - 14","0%","High","HN - 11-Jun-19",5
"216","HN",14,"13-Jun-19",0,"HN - 14","0%","High","HN - 13-Jun-19",7
"217","HN",14,"15-Jul-19",1,"HN - 14","0%","High","HN - 15-Jul-19",33
"218","HN",14,"15-Jun-19",0,"HN - 14","0%","High","HN - 15-Jun-19",9
"219","HN",14,"20-Jul-19",1,"HN - 14","0%","High","HN - 20-Jul-19",37
"220","HN",14,"20-Jun-19",2,"HN - 14","0%","High","HN - 20-Jun-19",11
"221","HN",14,"25-Jul-19",3,"HN - 14","0%","High","HN - 25-Jul-19",43
"222","HN",14,"25-Jun-19",1,"HN - 14","0%","High","HN - 25-Jun-19",13
"223","HN",14,"28-Jul-19",0,"HN - 14","0%","High","HN - 28-Jul-19",48
"224","HN",14,"28-Jun-19",0,"HN - 14","0%","High","HN - 28-Jun-19",18
"225","HN",15,"02-Jul-19",1,"HN - 15","50%","High","HN - 02-Jul-19",23
"226","HN",15,"05-Jul-19",0,"HN - 15","50%","High","HN - 05-Jul-19",26
"227","HN",15,"05-Jun-19",2,"HN - 15","50%","High","HN - 05-Jun-19",1
"228","HN",15,"06-Jun-19",0,"HN - 15","50%","High","HN - 06-Jun-19",2
"229","HN",15,"07-Jun-19",1,"HN - 15","50%","High","HN - 07-Jun-19",3
"230","HN",15,"09-Jul-19",1,"HN - 15","50%","High","HN - 09-Jul-19",30
"231","HN",15,"11-Jun-19",2,"HN - 15","50%","High","HN - 11-Jun-19",5
"232","HN",15,"13-Jun-19",1,"HN - 15","50%","High","HN - 13-Jun-19",7
"233","HN",15,"15-Jul-19",1,"HN - 15","50%","High","HN - 15-Jul-19",33
"234","HN",15,"15-Jun-19",0,"HN - 15","50%","High","HN - 15-Jun-19",9
"235","HN",15,"20-Jul-19",0,"HN - 15","50%","High","HN - 20-Jul-19",37
"236","HN",15,"20-Jun-19",0,"HN - 15","50%","High","HN - 20-Jun-19",11
"237","HN",15,"25-Jul-19",1,"HN - 15","50%","High","HN - 25-Jul-19",43
