plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,9,05-Jul-19,0,HN - 9,control,High,HN - 05-Jul-19,26
HN,9,05-Jun-19,0,HN - 9,control,High,HN - 05-Jun-19,1
HN,9,06-Jun-19,5,HN - 9,control,High,HN - 06-Jun-19,2
HN,9,07-Jun-19,2,HN - 9,control,High,HN - 07-Jun-19,3
HN,9,09-Jul-19,0,HN - 9,control,High,HN - 09-Jul-19,30
HN,9,11-Jun-19,1,HN - 9,control,High,HN - 11-Jun-19,5
HN,9,13-Jun-19,0,HN - 9,control,High,HN - 13-Jun-19,7
HN,9,15-Jul-19,1,HN - 9,control,High,HN - 15-Jul-19,33
HN,9,15-Jun-19,4,HN - 9,control,High,HN - 15-Jun-19,9
HN,9,20-Jul-19,2,HN - 9,control,High,HN - 20-Jul-19,37
HN,9,20-Jun-19,2,HN - 9,control,High,HN - 20-Jun-19,11
HN,9,25-Jul-19,1,HN - 9,control,High,HN - 25-Jul-19,43
HN,9,25-Jun-19,0,HN - 9,control,High,HN - 25-Jun-19,13
HN,9,28-Jul-19,4,HN - 9,control,High,HN - 28-Jul-19,48
HN,9,28-Jun-19,6,HN - 9,control,High,HN - 28-Jun-19,18
HN,10,02-Jul-19,2,HN - 10,control,High,HN - 02-Jul-19,23
HN,10,05-Jul-19,2,HN - 10,control,High,HN - 05-Jul-19,26
HN,10,05-Jun-19,0,HN - 10,control,High,HN - 05-Jun-19,1
HN,10,06-Jun-19,4,HN - 10,control,High,HN - 06-Jun-19,2
HN,10,07-Jun-19,3,HN - 10,control,High,HN - 07-Jun-19,3
HN,10,09-Jul-19,0,HN - 10,control,High,HN - 09-Jul-19,30
HN,10,11-Jun-19,0,HN - 10,control,High,HN - 11-Jun-19,5
HN,10,13-Jun-19,0,HN - 10,control,High,HN - 13-Jun-19,7
HN,10,15-Jul-19,4,HN - 10,control,High,HN - 15-Jul-19,33
