survey_number,month,day,year,date,plot,visit,transect_ID,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type
120,June,20,2019,20-Jun-19,HS,8,c,Kelsey,20,M,5,SE,13:21,13:42,0:21,recruit
121,June,20,2019,20-Jun-19,HN,7,a,Noelle,NA,NA,NA,NA,NA,NA,NA,recruit
122,June,20,2019,20-Jun-19,HN,7,b,Aneri,5,M,5,SE,12:56,13:15,0:19,recruit
123,June,20,2019,20-Jun-19,HN,7,c,Kelsey,20,M,5,SE,12:57,13:17,0:20,recruit
124,June,25,2019,25-Jun-19,LN,9,a,Kelsey,5,L,NA,NA,12:35,12:59,0:24,recruit
125,June,25,2019,25-Jun-19,LN,9,b,Noelle,5,L,NA,NA,12:34,12:54,0:20,recruit
126,June,25,2019,25-Jun-19,LN,9,c,Aneri,5,L,2,S,12:32,12:54,0:22,recruit
127,June,25,2019,25-Jun-19,LS,10,a,Kelsey,5,L,NA,NA,13:25,13:45,0:20,recruit
128,June,25,2019,25-Jun-19,LS,10,b,Noelle,5,L,NA,NA,12:59,13:19,0:20,recruit
129,June,25,2019,25-Jun-19,LS,10,c,Aneri,5,L,2,S,12:57,13:20,0:23,recruit
130,June,25,2019,25-Jun-19,HS,9,a,Kelsey,5,L,NA,NA,13:25,13:35,0:10,recruit
131,June,25,2019,25-Jun-19,HS,9,b,Noelle,0,L,NA,NA,13:25,13:43,0:18,recruit
132,June,25,2019,25-Jun-19,HS,9,c,Aneri,5,L,2,S,13:23,13:39,0:16,recruit
133,June,25,2019,25-Jun-19,HN,8,a,Kelsey,5,L,NA,NA,13:00,13:20,0:20,recruit
134,June,25,2019,25-Jun-19,HN,8,b,Noelle,5,L,NA,NA,13:50,NA,NA,recruit
135,June,25,2019,25-Jun-19,HN,8,c,Aneri,5,L,2,S,13:49,14:05,0:16,recruit
