"","days_since_outplanting","treatment","complexity","density.mean","density.sd","density.se","days_comp","density.control","effect.size"
"95",23,"50%","High",1.375,1.50594061730772,0.0428349842546722,"23 - High",4.42857142857143,-3.05357142857143
"96",23,"50%","Low",1.75,1.48804761828569,0.0423260356795633,"23 - Low",1.85714285714286,-0.107142857142857
"97",23,"70%","High",2.5,2.32992949004287,0.0662725288590112,"23 - High",4.42857142857143,-1.92857142857143
"98",23,"70%","Low",3.75,4.46414285485707,0.12697810703869,"23 - Low",1.85714285714286,1.89285714285714
"99",23,"100%","High",4,3.81725406168211,0.10857799819528,"23 - High",4.42857142857143,-0.428571428571429
"100",23,"100%","Low",3.75,3.37003603202441,0.0958573257872006,"23 - Low",1.85714285714286,1.89285714285714
"101",26,"0%","High",3.625,2.92464894108189,0.0831887326112859,"26 - High",2,1.625
"102",26,"0%","Low",3.625,3.85217934606967,0.109571413200917,"26 - Low",1.375,2.25
"103",26,"30%","High",3.28571428571429,3.72890894294322,0.106065109090182,"26 - High",2,1.28571428571429
"104",26,"30%","Low",4.25,3.32737562824346,0.094643892997585,"26 - Low",1.375,2.875
"105",26,"50%","High",0.625,0.916125381312904,0.0260582760255182,"26 - High",2,-1.375
"106",26,"50%","Low",2.25,1.48804761828569,0.0423260356795633,"26 - Low",1.375,0.875
"107",26,"70%","High",2.625,3.77728171346236,0.107441024474712,"26 - High",2,0.625
"108",26,"70%","Low",2.5,2.1380899352994,0.0608158433745921,"26 - Low",1.375,1.125
"109",26,"100%","High",2.25,4.39967531269557,0.125144391869786,"26 - High",2,0.25
"110",26,"100%","Low",4.875,5.40997755474615,0.15388143510597,"26 - Low",1.375,3.5
"111",30,"0%","High",3.875,5.11126207506522,0.14538477015006,"30 - High",3.25,0.625
"112",30,"0%","Low",2.57142857142857,1.2724180205607,0.0361926660650935,"30 - Low",2.25,0.321428571428572
"113",30,"30%","High",2.75,3.4537764010676,0.0982392373634073,"30 - High",3.25,-0.5
"114",30,"30%","Low",2.75,3.53553390593274,0.100564748338641,"30 - Low",2.25,0.5
"115",30,"50%","High",2,2.20389266007736,0.0626875364861158,"30 - High",3.25,-1.25
"116",30,"50%","Low",4.125,3.94380164670733,0.11217751848826,"30 - Low",2.25,1.875
"117",30,"70%","High",4.375,5.57897840110535,0.158688496227519,"30 - High",3.25,1.125
"118",30,"70%","Low",2,1.4142135623731,0.0402258993354565,"30 - Low",2.25,-0.25
"119",30,"100%","High",1.75,1.28173988892331,0.0364578173465897,"30 - High",3.25,-1.5
"120",30,"100%","Low",3,3.33809184158512,0.0949487050363096,"30 - Low",2.25,0.75
"121",33,"0%","High",2.375,3.5431019500674,0.100780013832925,"33 - High",2.375,0
"122",33,"0%","Low",3,3.02371578407382,0.0860065905075061,"33 - Low",0.75,2.25
"123",33,"30%","High",1.14285714285714,2.19306265517513,0.0623794877595371,"33 - High",2.375,-1.23214285714286
"124",33,"30%","Low",1.75,1.66904592079256,0.0474743525181548,"33 - Low",0.75,1
"125",33,"50%","High",2.875,2.58774584753383,0.0736058589297981,"33 - High",2.375,0.5
"126",33,"50%","Low",2.25,1.90862703084106,0.0542889990976402,"33 - Low",0.75,1.5
"127",33,"70%","High",1.25,1.28173988892331,0.0364578173465897,"33 - High",2.375,-1.125
"128",33,"70%","Low",2.25,1.66904592079256,0.0474743525181548,"33 - Low",0.75,1.5
"129",33,"100%","High",1.5,1.60356745147455,0.0456118825309441,"33 - High",2.375,-0.875
"130",33,"100%","Low",3.25,4.89168390521827,0.139139087325674,"33 - Low",0.75,2.5
"131",37,"0%","High",4.125,3.56320481749626,0.101351819918698,"37 - High",3.875,0.25
"132",37,"0%","Low",3,3.11677488989592,0.0886535642904232,"37 - Low",2.83333333333333,0.166666666666667
"133",37,"30%","High",4.5,5.20988072251728,0.148189879569566,"37 - High",3.875,0.625
"134",37,"30%","Low",3.25,3.24037034920393,0.0921691143012016,"37 - Low",2.83333333333333,0.416666666666667
"135",37,"50%","High",1.75,1.58113883008419,0.0449739226850722,"37 - High",3.875,-2.125
"136",37,"50%","Low",2.85714285714286,3.07834216359885,0.0875603835853686,"37 - Low",2.83333333333333,0.0238095238095237
"137",37,"70%","High",2.125,2.3566016694748,0.0670311924961254,"37 - High",3.875,-1.75
"138",37,"70%","Low",2.5,2.97609523657138,0.0846520713591266,"37 - Low",2.83333333333333,-0.333333333333333
"139",37,"100%","High",2.5,2.32992949004287,0.0662725288590112,"37 - High",3.875,-1.375
"140",37,"100%","Low",2.625,2.38671920665766,0.0678878559104661,"37 - Low",2.83333333333333,-0.208333333333333
"141",43,"0%","High",3.875,4.82367672453878,0.137204690656821,"43 - High",2.125,1.75
"142",43,"0%","Low",4.5,3.4226138716317,0.0973528501829427,"43 - Low",1.125,3.375
"143",43,"30%","High",3.25,3.8821937833432,0.110425144040798,"43 - High",2.125,1.125
"144",43,"30%","Low",1.875,1.5526475085203,0.0441635153578789,"43 - Low",1.125,0.75
"145",43,"50%","High",2,1.60356745147455,0.0456118825309441,"43 - High",2.125,-0.125
"146",43,"50%","Low",2,2,0.0568880123988574,"43 - Low",1.125,0.875
"147",43,"70%","High",2.875,1.7268882005338,0.0491196186817036,"43 - High",2.125,0.75
"148",43,"70%","Low",4.5,5.8554004376912,0.166551046349826,"43 - Low",1.125,3.375
"149",43,"100%","High",2,1.69030850945703,0.048079145721943,"43 - High",2.125,-0.125
"150",43,"100%","Low",1.57142857142857,0.975900072948533,0.027758507724971,"43 - Low",1.125,0.446428571428571
"151",48,"0%","High",1.875,1.24642345475822,0.0354532764742563,"48 - High",3.875,-2
"152",48,"0%","Low",2.625,2.38671920665766,0.0678878559104661,"48 - Low",2.16666666666667,0.458333333333333
"153",48,"30%","High",2,1.60356745147455,0.0456118825309441,"48 - High",3.875,-1.875
"154",48,"30%","Low",3.25,3.57571171736681,0.101707566256151,"48 - Low",2.16666666666667,1.08333333333333
"155",48,"50%","High",2.625,3.9256482631171,0.111661163532879,"48 - High",3.875,-1.25
"156",48,"50%","Low",1.75,2.12132034355964,0.0603388490031847,"48 - Low",2.16666666666667,-0.416666666666667
"157",48,"70%","High",4.57142857142857,4.99523582550223,0.142084518788194,"48 - High",3.875,0.696428571428571
"158",48,"70%","Low",4.625,5.370222128952,0.15275063152822,"48 - Low",2.16666666666667,2.45833333333333
"159",48,"100%","High",2.375,2.26384628453435,0.0643928577518488,"48 - High",3.875,-1.5
"160",48,"100%","Low",5.125,3.87067731245358,0.110097569471418,"48 - Low",2.16666666666667,2.95833333333333
